No,Card,CardNumber,Set,Printing,ExpectedGrade,Justification,PSA_Lower_Grade,PSA_Lower_Avg,PSA_Lower_Med,PSA_Lower_Count,PSA_Lower_Confidence,PSA_Expected_Grade,PSA_Expected_Avg,PSA_Expected_Med,PSA_Expected_Count,PSA_Expected_Confidence,PSA_Upper_Grade,PSA_Upper_Avg,PSA_Upper_Med,PSA_Upper_Count,PSA_Upper_Confidence,Raw_NM_Price,Grading_Cost,Value_Uplift,Net_ROI,ROI_Percent,Is_Selected_Variant,All_Printings_Found
34,Jirachi,8/101,Hidden Legends,Holofoil,10,,9,89.99,89.99,2,medium,10,402.74,402.74,1,low,N/A,,,0,N/A,27.16,20,375.58,355.58,754.0,Y,Holofoil (Alternate Art Promos); Holofoil (XY Promos); Normal (World Championship Decks); Holofoil (XY Promos); Holofoil (XY Promos); Normal (Jumbo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Generations: Radiant Collection); Holofoil (SM - Team Up); Normal (World Championship Decks); Holofoil (Plasma Blast); Holofoil (Team Magma vs Team Aqua); Holofoil (SM - Celestial Storm); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Crystal Guardians); Holofoil (Deoxys); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Hidden Legends); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (SM - Unified Minds); Holofoil (Rising Rivals); Holofoil (Plasma Blast); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Shining Legends); Holofoil (XY - Roaring Skies); Normal (Legends Awakened); Holofoil (SWSH10: Astral Radiance); Normal (SV04: Paradox Rift); Holofoil (Prize Pack Series Cards); Holofoil (SWSH12: Silver Tempest); Holofoil (Prize Pack Series Cards); Holofoil (SWSH04: Vivid Voltage); Holofoil (Call of Legends); Holofoil (Unleashed); Normal (Deck Exclusives); Normal (SV07: Stellar Crown); Holofoil (Alternate Art Promos); Normal (Nintendo Promos)
35,Delcatty,5/109,Ruby and Sapphire,Holofoil,10,,9,,,0,low,10,,,0,low,N/A,,,0,N/A,14.89,20,,,,Y,Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Crystal Guardians); Holofoil (Power Keepers); Holofoil (Ruby and Sapphire); Normal (World Championship Decks); Normal (World Championship Decks); Normal (World Championship Decks); Holofoil (Legend Maker); Holofoil (Platinum); Normal (Sandstorm); Normal (EX Trainer Kit 1: Latias & Latios); Normal (Ruby and Sapphire); Normal (EX Battle Stadium); Normal (XY Trainer Kit: Latias & Latios); Normal (Legends Awakened); Normal (SWSH08: Fusion Strike); Normal (XY Trainer Kit: Latias & Latios); Normal (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Normal (SWSH03: Darkness Ablaze); Normal (SV05: Temporal Forces); Normal (Deck Exclusives); Holofoil (SM - Celestial Storm); Normal (XY - Primal Clash); Normal (Boundaries Crossed); Normal (XY Base Set); Normal (Deck Exclusives)
36,Nidoking,6/112,FireRed & LeafGreen,Holofoil,9,Deep scratch on holo top,8,62.96,62.49,4,medium,9,147.50,147.50,2,medium,10,1350.00,1350.00,1,low,45.44,20,102.06,82.06,125.4,Y,Holofoil (FireRed & LeafGreen)
37,Misdreavus,25/109,Team Rocket Returns,Normal,9,Back bottom corner whitening,8,16.50,16.50,1,low,9,56.00,56.00,1,low,10,263.25,236.50,4,medium,2.49,20,53.51,33.51,149.0,Y,Normal (Diamond and Pearl); Normal (Platinum); Normal (SM - Unbroken Bonds); Normal (Stormfront); Normal (Call of Legends); Normal (XY - BREAKthrough); Normal (Undaunted); Normal (Legendary Treasures); Normal (Unleashed); Normal (Legend Maker); Normal (WoTC Promo); Normal (SM - Crimson Invasion); Normal (Team Rocket Returns); Holofoil (ME: Ascended Heroes); 1st Edition Holofoil (Neo Revelation); Normal (Legends Awakened); Normal (SV02: Paldea Evolved); Normal (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Normal (SWSH12: Silver Tempest); Normal (SWSH10: Astral Radiance); Normal (Trick or Trade BOOster Bundle); Normal (Skyridge); Normal (ME02: Phantasmal Flames)
37,Misdreavus,25/109,Team Rocket Returns,Normal,10,Back bottom corner whitening,9,56.00,56.00,1,low,10,263.25,236.50,4,medium,N/A,,,0,N/A,2.49,20,260.76,240.76,1070.5,Y,Normal (Diamond and Pearl); Normal (Platinum); Normal (SM - Unbroken Bonds); Normal (Stormfront); Normal (Call of Legends); Normal (XY - BREAKthrough); Normal (Undaunted); Normal (Legendary Treasures); Normal (Unleashed); Normal (Legend Maker); Normal (WoTC Promo); Normal (SM - Crimson Invasion); Normal (Team Rocket Returns); Holofoil (ME: Ascended Heroes); 1st Edition Holofoil (Neo Revelation); Normal (Legends Awakened); Normal (SV02: Paldea Evolved); Normal (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Reverse Holofoil (ME: Ascended Heroes); Normal (SWSH12: Silver Tempest); Normal (SWSH10: Astral Radiance); Normal (Trick or Trade BOOster Bundle); Normal (Skyridge); Normal (ME02: Phantasmal Flames)
38,Scyther,45,WoTC Promo,Normal,9,Back bottom,8,,,0,low,9,35.00,35.00,1,low,10,211.66,225.00,3,medium,32.81,20,2.19,-17.81,-33.7,Y,Normal (WoTC Promo)
39,Articuno,48,WoTC Promo,Normal,8,"Centering front, back corner whitening",7,,,0,low,8,44.95,44.95,1,low,9,32.00,32.00,1,low,41.87,20,3.08,-16.92,-27.3,Y,Holofoil (SWSH10: Astral Radiance Trainer Gallery); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Hidden Fates: Shiny Vault); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Skyridge); Holofoil (Team Rocket Returns); Holofoil (Hidden Fates); Holofoil (Hidden Fates); Normal (WoTC Promo); Holofoil (Hidden Fates); Holofoil (SM - Team Up); Holofoil (Legendary Treasures); Holofoil (SM - Celestial Storm); Holofoil (Next Destinies); Holofoil (Generations); Holofoil (Plasma Storm); Normal (WoTC Promo); Holofoil (SWSH09: Brilliant Stars); Holofoil (SM - Celestial Storm); Holofoil (SWSH06: Chilling Reign); 1st Edition (Fossil); Normal (World Championship Decks); Normal (XY - Roaring Skies); Holofoil (SWSH06: Chilling Reign); Holofoil (SV09: Journey Together); Normal (XY - Roaring Skies); Normal (Supreme Victors); Holofoil (SM - Celestial Storm); Holofoil (Supreme Victors); Holofoil (SV: Scarlet & Violet 151); Holofoil (Plasma Storm); Holofoil (FireRed & LeafGreen); Holofoil (Majestic Dawn); Normal (Deck Exclusives); Holofoil (SWSH07: Evolving Skies); Normal (Prize Pack Series Cards); Holofoil (Prize Pack Series Cards); Holofoil (SWSH06: Chilling Reign); Holofoil (SV10: Destined Rivals); Holofoil (Miscellaneous Cards & Products); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH12: Silver Tempest); Holofoil (Miscellaneous Cards & Products); Normal (SV09: Journey Together); Holofoil (Miscellaneous Cards & Products); Holofoil (Nintendo Promos); Holofoil (Blister Exclusives); Holofoil (Pokemon GO)
40,Mareep,67/109,Team Rocket Returns,Normal,9,,8,,,0,low,9,64.99,64.99,1,low,10,50.00,50.00,1,low,1.06,20,63.93,43.93,208.6,Y,Holofoil (Crown Zenith: Galarian Gallery); Normal (Secret Wonders); Normal (Platinum); Normal (SM - Lost Thunder); Normal (SM - Lost Thunder); Normal (HeartGold SoulSilver); Normal (Team Rocket Returns); Normal (Dragon); Normal (Call of Legends); Normal (Unseen Forces); 1st Edition (Neo Discovery); Normal (Dragon Frontiers); Normal (EX Trainer Kit 2: Plusle & Minun); Normal (SM - Team Up); Normal (Dragons Exalted); Normal (XY - Steam Siege); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (Expedition); Normal (Battle Academy 2024); Normal (Battle Academy 2024); Normal (Battle Academy 2024); Normal (Battle Academy 2024); Normal (Aquapolis); Reverse Holofoil (Miscellaneous Cards & Products); 1st Edition (Neo Destiny); Normal (SV10: Destined Rivals); Normal (SV01: Scarlet & Violet Base Set); 1st Edition (Neo Genesis); Normal (SWSH03: Darkness Ablaze); Normal (SWSH07: Evolving Skies); Normal (SWSH06: Chilling Reign); Normal (POP Series 7)
40,Mareep,67/109,Team Rocket Returns,Normal,10,,9,64.99,64.99,1,low,10,50.00,50.00,1,low,N/A,,,0,N/A,1.06,20,48.94,28.94,137.4,Y,Holofoil (Crown Zenith: Galarian Gallery); Normal (Secret Wonders); Normal (Platinum); Normal (SM - Lost Thunder); Normal (SM - Lost Thunder); Normal (HeartGold SoulSilver); Normal (Team Rocket Returns); Normal (Dragon); Normal (Call of Legends); Normal (Unseen Forces); 1st Edition (Neo Discovery); Normal (Dragon Frontiers); Normal (EX Trainer Kit 2: Plusle & Minun); Normal (SM - Team Up); Normal (Dragons Exalted); Normal (XY - Steam Siege); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (HGSS Trainer Kit: Gyarados & Raichu); Normal (Expedition); Normal (Battle Academy 2024); Normal (Battle Academy 2024); Normal (Battle Academy 2024); Normal (Battle Academy 2024); Normal (Aquapolis); Reverse Holofoil (Miscellaneous Cards & Products); 1st Edition (Neo Destiny); Normal (SV10: Destined Rivals); Normal (SV01: Scarlet & Violet Base Set); 1st Edition (Neo Genesis); Normal (SWSH03: Darkness Ablaze); Normal (SWSH07: Evolving Skies); Normal (SWSH06: Chilling Reign); Normal (POP Series 7)
41,Hitmonchan,2,Best of Promos,Reverse Holofoil,9,Light scratch on holo (faint),8,,,0,low,9,,,0,low,10,,,0,low,29.58,20,,,,Y,Holofoil (HGSS Promos); Normal (Legends Awakened); Holofoil (Ruby and Sapphire); Holofoil (Team Rocket Returns); Normal (SM - Team Up); Holofoil (XY - Evolutions); Normal (Call of Legends); Normal (Undaunted); Normal (Generations); Normal (XY - Furious Fists); Normal (Unseen Forces); Holofoil (Platinum); Normal (SV: Scarlet & Violet 151); Normal (SWSH01: Sword & Shield Base Set); Normal (SWSH07: Evolving Skies); Normal (Aquapolis); 1st Edition (Neo Destiny); Normal (Deck Exclusives); Holofoil (Trading Card Game Classic); 1st Edition Holofoil (Gym Heroes); Reverse Holofoil (Best of Promos); Holofoil (Base Set 2); Holofoil (Base Set); 1st Edition Holofoil (Base Set (Shadowless)); Reverse Holofoil (Best of Promos); Reverse Holofoil (Best of Promos); Normal (Jumbo Cards)
41,Hitmonchan,2,Best of Promos,Reverse Holofoil,10,Light scratch on holo (faint),9,,,0,low,10,,,0,low,N/A,,,0,N/A,29.58,20,,,,Y,Holofoil (HGSS Promos); Normal (Legends Awakened); Holofoil (Ruby and Sapphire); Holofoil (Team Rocket Returns); Normal (SM - Team Up); Holofoil (XY - Evolutions); Normal (Call of Legends); Normal (Undaunted); Normal (Generations); Normal (XY - Furious Fists); Normal (Unseen Forces); Holofoil (Platinum); Normal (SV: Scarlet & Violet 151); Normal (SWSH01: Sword & Shield Base Set); Normal (SWSH07: Evolving Skies); Normal (Aquapolis); 1st Edition (Neo Destiny); Normal (Deck Exclusives); Holofoil (Trading Card Game Classic); 1st Edition Holofoil (Gym Heroes); Reverse Holofoil (Best of Promos); Holofoil (Base Set 2); Holofoil (Base Set); 1st Edition Holofoil (Base Set (Shadowless)); Reverse Holofoil (Best of Promos); Reverse Holofoil (Best of Promos); Normal (Jumbo Cards)
42,Electabuzz,1,Best of Promos,Reverse Holofoil,8,"Light holo scratch, whitening dot back",7,,,0,low,8,,,0,low,9,,,0,low,22.95,20,,,,Y,Holofoil (Ruby and Sapphire); Normal (Secret Wonders); Normal (Diamond and Pearl); Normal (SM - Lost Thunder); Normal (Boundaries Crossed); Normal (WoTC Promo); Normal (SM - Ultra Prism); Normal (SM - Burning Shadows); Normal (XY - BREAKpoint); Normal (XY - Evolutions); Normal (Sandstorm); Normal (Triumphant); Normal (XY - Furious Fists); Normal (Dragon Frontiers); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Normal (Unseen Forces); Normal (XY Trainer Kit: Pikachu Libre & Suicune); Holofoil (Platinum); Holofoil (Miscellaneous Cards & Products); Normal (SV: Scarlet & Violet 151); Normal (Expedition); Normal (SV10: Destined Rivals); Normal (SWSH02: Rebel Clash); Normal (SV05: Temporal Forces); Normal (SWSH09: Brilliant Stars); Normal (SV07: Stellar Crown); Normal (SWSH05: Battle Styles); Normal (Battle Academy); Normal (Battle Academy); Normal (Battle Academy); Holofoil (Miscellaneous Cards & Products); 1st Edition (Neo Genesis); 1st Edition (Gym Heroes); Normal (Base Set 2); Normal (Base Set); 1st Edition (Base Set (Shadowless)); Normal (WoTC Promo); 1st Edition Holofoil (Gym Heroes); Reverse Holofoil (Best of Promos); Reverse Holofoil (Best of Promos); Normal (Jumbo Cards); Normal (My First Battle)
43,Pichu,35,WoTC Promo,Reverse Holofoil,9,Back whitening dot corner and left side,8,52.38,52.38,1,low,9,54.00,54.00,1,low,10,4400.00,4400.00,1,low,37.84,20,16.16,-3.84,-6.6,Y,Reverse Holofoil (WoTC Promo)
44,Cubone,51/109,Team Rocket Returns,Normal,9,One corner dot,8,53.90,53.90,1,low,9,119.99,119.99,2,medium,10,810.00,810.00,1,low,1.84,20,118.15,98.15,449.4,Y,Normal (SM - Unbroken Bonds); Normal (Legends Awakened); Normal (XY - BREAKthrough); Normal (Dragons Exalted); Normal (Delta Species); Normal (FireRed & LeafGreen); Normal (Triumphant); Normal (SM - Forbidden Light); Normal (SM - Crimson Invasion); Normal (Team Rocket Returns); 1st Edition (Jungle); Normal (Team Magma vs Team Aqua); Normal (Hidden Fates); Normal (SM - Unified Minds); Normal (SV: Scarlet & Violet 151); Normal (Expedition); Normal (SV09: Journey Together); Normal (Aquapolis); Normal (SV07: Stellar Crown); Normal (Base Set 2); Normal (SWSH05: Battle Styles); Normal (Trick or Trade BOOster Bundle); Holofoil (Miscellaneous Cards & Products); Holofoil (McDonald's Promos 2018)
44,Cubone,51/109,Team Rocket Returns,Normal,10,One corner dot,9,119.99,119.99,2,medium,10,810.00,810.00,1,low,N/A,,,0,N/A,1.84,20,808.16,788.16,3608.8,Y,Normal (SM - Unbroken Bonds); Normal (Legends Awakened); Normal (XY - BREAKthrough); Normal (Dragons Exalted); Normal (Delta Species); Normal (FireRed & LeafGreen); Normal (Triumphant); Normal (SM - Forbidden Light); Normal (SM - Crimson Invasion); Normal (Team Rocket Returns); 1st Edition (Jungle); Normal (Team Magma vs Team Aqua); Normal (Hidden Fates); Normal (SM - Unified Minds); Normal (SV: Scarlet & Violet 151); Normal (Expedition); Normal (SV09: Journey Together); Normal (Aquapolis); Normal (SV07: Stellar Crown); Normal (Base Set 2); Normal (SWSH05: Battle Styles); Normal (Trick or Trade BOOster Bundle); Holofoil (Miscellaneous Cards & Products); Holofoil (McDonald's Promos 2018)
45,Ho-Oh,9/95,Call of Legends,Holofoil,6,"Centering off, back deep scratch middle, scratch and whitening",5,,,0,low,6,,,0,low,7,,,0,low,27.49,20,,,,Y,Holofoil (Call of Legends)
46,Cool Porygon,15,WoTC Promo,Holofoil,9,Tiny dot back corner,8,59.63,59.00,4,medium,9,92.50,92.50,2,medium,10,,,0,low,64.70,20,27.80,7.80,9.2,Y,Holofoil (WoTC Promo)
46,Cool Porygon,15,WoTC Promo,Holofoil,10,Tiny dot back corner,9,92.50,92.50,2,medium,10,,,0,low,N/A,,,0,N/A,64.70,20,,,,Y,Holofoil (WoTC Promo)
47,Golem,148/144,Skyridge,Holofoil,9,Light scratch on holo (faint),8,729.51,917.13,14,high,9,1101.72,1200.00,11,high,10,10558.88,3719.00,3,medium,299.95,20,801.77,781.77,244.3,Y,Holofoil (Dragon); Holofoil (SM - Unbroken Bonds); Holofoil (Legend Maker); Holofoil (Dragon); Normal (XY - Flashfire); Holofoil (Generations); Holofoil (Generations); Holofoil (SM - Guardians Rising); Normal (SM - Team Up); 1st Edition (Fossil); Normal (Hidden Fates); Holofoil (SM - Crimson Invasion); Normal (Secret Wonders); Normal (Rising Rivals); Normal (Arceus); Holofoil (SV: Scarlet & Violet 151); Holofoil (Skyridge); Normal (SWSH08: Fusion Strike); Holofoil (SM - Crimson Invasion); Holofoil (SM - Crimson Invasion); Holofoil (SV: Scarlet & Violet 151); Normal (Expedition); Normal (SV09: Journey Together); Holofoil (Blister Exclusives); Normal (Legendary Collection); 1st Edition (Gym Heroes); Holofoil (Expedition); Normal (League & Championship Cards)
48,Nidoking,H18/H32,Aquapolis,Holofoil,9,Tiny dot back corner,8,135.50,135.50,1,low,9,379.01,395.00,6,high,10,,,0,low,125.13,20,253.88,233.88,161.2,Y,Holofoil (Aquapolis); Holofoil (FireRed & LeafGreen); Holofoil (Triumphant); Holofoil (Dragon Frontiers); Normal (SM - Team Up); Normal (Plasma Freeze); Holofoil (XY - Evolutions); Normal (XY - Steam Siege); Holofoil (XY - Evolutions); Normal (Secret Wonders); Normal (Rising Rivals); Holofoil (SV10: Destined Rivals); Holofoil (SV: Scarlet & Violet Promo Cards); Holofoil (SV10: Destined Rivals); Holofoil (SV: Scarlet & Violet 151); Holofoil (Aquapolis); Holofoil (Prize Pack Series Cards); Holofoil (SV10: Destined Rivals); Normal (Deck Exclusives); Holofoil (SV: Scarlet & Violet 151); Normal (Legendary Collection); Normal (Aquapolis); Holofoil (Base Set 2); Holofoil (Base Set); 1st Edition Holofoil (Base Set (Shadowless)); 1st Edition Holofoil (Gym Challenge); Holofoil (Deck Exclusives); Normal (Deck Exclusives); Normal (Miscellaneous Cards & Products)
49,Poliwrath,H24/H32,Skyridge,Holofoil,10,,9,468.53,500.00,5,high,10,150.00,150.00,1,low,N/A,,,0,N/A,300.00,20,-150.00,-170.00,-53.1,Y,Holofoil (Skyridge); Normal (SM - Unbroken Bonds); Normal (Legends Awakened); Holofoil (SM Base Set); 1st Edition (Neo Discovery); Holofoil (XY - Evolutions); Normal (Unleashed); Holofoil (XY - Furious Fists); Holofoil (Unseen Forces); Holofoil (FireRed & LeafGreen); 1st Edition Holofoil (Neo Discovery); Normal (SWSH11: Lost Origin); Normal (SV: Scarlet & Violet 151); Normal (Expedition); Normal (SV06: Twilight Masquerade); 1st Edition (Gym Heroes); Normal (Skyridge); Normal (Deck Exclusives); Holofoil (Expedition); Reverse Holofoil (League & Championship Cards); Reverse Holofoil (League & Championship Cards); Holofoil (Base Set 2); Holofoil (Base Set); 1st Edition Holofoil (Base Set (Shadowless))
50,Lanturn,H15/H32,Aquapolis,Holofoil,9,Whitening dot back bottom,8,102.93,94.52,7,high,9,172.66,189.99,7,high,10,,,0,low,98.00,20,74.66,54.66,46.3,Y,Holofoil (Aquapolis); Holofoil (Unleashed); Normal (SM - Lost Thunder); Normal (SM - Cosmic Eclipse); Normal (Legends Awakened); Normal (XY - Primal Clash); Normal (Legends Awakened); Normal (SM - Celestial Storm); Normal (SM Base Set); Normal (Unseen Forces); Normal (Hidden Legends); Normal (Plasma Freeze); 1st Edition (Neo Revelation); Normal (Team Magma vs Team Aqua); Normal (Legend Maker); Normal (Unleashed); Normal (Power Keepers); Normal (SWSH01: Sword & Shield Base Set); Normal (SWSH07: Evolving Skies); Normal (SWSH12: Silver Tempest); Normal (SV07: Stellar Crown); 1st Edition (Neo Genesis); 1st Edition (Neo Destiny); Normal (Aquapolis); Normal (SV: Paldean Fates); Normal (Aquapolis)
51,Alakazam,H1/H32,Skyridge,Holofoil,10,,9,,,0,low,10,,,0,low,N/A,,,0,N/A,800.00,20,,,,Y,Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Jumbo Cards); Holofoil (Skyridge); Holofoil (Crystal Guardians); Normal (XY - Fates Collide); Normal (Rising Rivals); Holofoil (XY - Fates Collide); Holofoil (XY - Fates Collide); Holofoil (SV: Paldean Fates); Holofoil (SV: Scarlet & Violet 151); Holofoil (Mysterious Treasures); Holofoil (SV: Scarlet & Violet 151); 1st Edition (Team Rocket); Holofoil (SWSH04: Vivid Voltage); Holofoil (XY - Fates Collide); Holofoil (XY - Fates Collide); Holofoil (XY - Fates Collide); Holofoil (Rising Rivals); Holofoil (Blister Exclusives); Holofoil (SV06: Twilight Masquerade); Holofoil (SV: Scarlet & Violet 151); Holofoil (SWSH12: Silver Tempest); Holofoil (Prize Pack Series Cards); Holofoil (ME01: Mega Evolution); Holofoil (SV: Scarlet & Violet Promo Cards); Normal (Expedition); 1st Edition Holofoil (Gym Challenge); 1st Edition Holofoil (Team Rocket); Holofoil (ME: Mega Evolution Promo); Holofoil (ME: Mega Evolution Promo); Holofoil (ME: Mega Evolution Promo); Normal (ME: Mega Evolution Promo); Normal (Skyridge); Holofoil (Expedition); Holofoil (Base Set 2); Holofoil (Legendary Collection); 1st Edition Holofoil (Base Set (Shadowless)); Holofoil (Base Set); Reverse Holofoil (Jumbo Cards); Normal (SWSH04: Vivid Voltage); Normal (ME01: Mega Evolution); Normal (SV: Scarlet & Violet 151)
52,Articuno,H3/H32,Skyridge,Holofoil,9,Back centering (left right),8,,,0,low,9,187.50,187.50,1,low,10,,,0,low,400.00,20,-212.50,-232.50,-55.4,Y,Holofoil (SWSH10: Astral Radiance Trainer Gallery); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Hidden Fates: Shiny Vault); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Skyridge); Holofoil (Team Rocket Returns); Holofoil (Hidden Fates); Holofoil (Hidden Fates); Normal (WoTC Promo); Holofoil (Hidden Fates); Holofoil (SM - Team Up); Holofoil (Legendary Treasures); Holofoil (SM - Celestial Storm); Holofoil (Next Destinies); Holofoil (Generations); Holofoil (Plasma Storm); Normal (WoTC Promo); Holofoil (SWSH09: Brilliant Stars); Holofoil (SM - Celestial Storm); Holofoil (SWSH06: Chilling Reign); 1st Edition (Fossil); Normal (World Championship Decks); Normal (XY - Roaring Skies); Holofoil (SWSH06: Chilling Reign); Holofoil (SV09: Journey Together); Normal (XY - Roaring Skies); Normal (Supreme Victors); Holofoil (SM - Celestial Storm); Holofoil (Supreme Victors); Holofoil (SV: Scarlet & Violet 151); Holofoil (Plasma Storm); Holofoil (FireRed & LeafGreen); Holofoil (Majestic Dawn); Normal (Deck Exclusives); Holofoil (SWSH07: Evolving Skies); Normal (Prize Pack Series Cards); Holofoil (Prize Pack Series Cards); Holofoil (SWSH06: Chilling Reign); Holofoil (SV10: Destined Rivals); Holofoil (Miscellaneous Cards & Products); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH12: Silver Tempest); Holofoil (Miscellaneous Cards & Products); Normal (SV09: Journey Together); Holofoil (Miscellaneous Cards & Products); Holofoil (Nintendo Promos); Holofoil (Blister Exclusives); Holofoil (Pokemon GO)
52,Articuno,H3/H32,Skyridge,Holofoil,10,Back centering (left right),9,187.50,187.50,1,low,10,,,0,low,N/A,,,0,N/A,400.00,20,,,,Y,Holofoil (SWSH10: Astral Radiance Trainer Gallery); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (SWSH: Sword & Shield Promo Cards); Holofoil (Hidden Fates: Shiny Vault); Holofoil (SM Promos); Holofoil (SM Promos); Holofoil (Skyridge); Holofoil (Team Rocket Returns); Holofoil (Hidden Fates); Holofoil (Hidden Fates); Normal (WoTC Promo); Holofoil (Hidden Fates); Holofoil (SM - Team Up); Holofoil (Legendary Treasures); Holofoil (SM - Celestial Storm); Holofoil (Next Destinies); Holofoil (Generations); Holofoil (Plasma Storm); Normal (WoTC Promo); Holofoil (SWSH09: Brilliant Stars); Holofoil (SM - Celestial Storm); Holofoil (SWSH06: Chilling Reign); 1st Edition (Fossil); Normal (World Championship Decks); Normal (XY - Roaring Skies); Holofoil (SWSH06: Chilling Reign); Holofoil (SV09: Journey Together); Normal (XY - Roaring Skies); Normal (Supreme Victors); Holofoil (SM - Celestial Storm); Holofoil (Supreme Victors); Holofoil (SV: Scarlet & Violet 151); Holofoil (Plasma Storm); Holofoil (FireRed & LeafGreen); Holofoil (Majestic Dawn); Normal (Deck Exclusives); Holofoil (SWSH07: Evolving Skies); Normal (Prize Pack Series Cards); Holofoil (Prize Pack Series Cards); Holofoil (SWSH06: Chilling Reign); Holofoil (SV10: Destined Rivals); Holofoil (Miscellaneous Cards & Products); Holofoil (Miscellaneous Cards & Products); Holofoil (SWSH12: Silver Tempest); Holofoil (Miscellaneous Cards & Products); Normal (SV09: Journey Together); Holofoil (Miscellaneous Cards & Products); Holofoil (Nintendo Promos); Holofoil (Blister Exclusives); Holofoil (Pokemon GO)
53,Blastoise,4/165,Expedition,Holofoil,8,"Front holo scratch, back centering",7,309.99,309.99,2,medium,8,650.00,650.00,1,low,9,1039.62,1274.99,4,medium,400.00,20,250.00,230.00,54.8,Y,Normal (Expedition); Normal (Expedition); Holofoil (Expedition)
54,Poliwrath,H24/H32,Skyridge,Holofoil,10,,9,468.53,500.00,5,high,10,150.00,150.00,1,low,N/A,,,0,N/A,300.00,20,-150.00,-170.00,-53.1,Y,Holofoil (Skyridge); Normal (SM - Unbroken Bonds); Normal (Legends Awakened); Holofoil (SM Base Set); 1st Edition (Neo Discovery); Holofoil (XY - Evolutions); Normal (Unleashed); Holofoil (XY - Furious Fists); Holofoil (Unseen Forces); Holofoil (FireRed & LeafGreen); 1st Edition Holofoil (Neo Discovery); Normal (SWSH11: Lost Origin); Normal (SV: Scarlet & Violet 151); Normal (Expedition); Normal (SV06: Twilight Masquerade); 1st Edition (Gym Heroes); Normal (Skyridge); Normal (Deck Exclusives); Holofoil (Expedition); Reverse Holofoil (League & Championship Cards); Reverse Holofoil (League & Championship Cards); Holofoil (Base Set 2); Holofoil (Base Set); 1st Edition Holofoil (Base Set (Shadowless))
55,Arcanine,H2/H32,Aquapolis,Holofoil,10,,9,99.79,89.99,7,high,10,212.50,212.50,2,medium,N/A,,,0,N/A,499.99,20,-287.49,-307.49,-59.1,Y,Holofoil (Jumbo Cards); Holofoil (XY Promos); Holofoil (SWSH11: Lost Origin Trainer Gallery); Normal (SWSH: Sword & Shield Promo Cards); Holofoil (Aquapolis); Holofoil (Skyridge); Holofoil (Legend Maker); Holofoil (Detective Pikachu); Normal (Supreme Victors); Holofoil (SV01: Scarlet & Violet Base Set); Holofoil (SM - Unbroken Bonds); Holofoil (SM Base Set); Normal (Secret Wonders); Normal (FireRed & LeafGreen); Normal (XY - Evolutions); Holofoil (SWSH12: Silver Tempest); Normal (Sandstorm); Normal (Supreme Victors); Normal (Next Destinies); Normal (Next Destinies); Holofoil (Black and White Promos); Holofoil (Black and White Promos); Normal (XY - BREAKpoint); Holofoil (SV06: Twilight Masquerade); Holofoil (Blister Exclusives); Holofoil (HeartGold SoulSilver); Normal (EX Trainer Kit 2: Plusle & Minun); Holofoil (Rising Rivals); Holofoil (Prize Pack Series Cards); Holofoil (SWSH12: Silver Tempest); Normal (Prize Pack Series Cards); Normal (Deck Exclusives); Holofoil (SWSH11: Lost Origin); Normal (SWSH10: Astral Radiance); Normal (WoTC Promo); Normal (SV: Scarlet & Violet 151); Normal (Legendary Collection); Normal (SWSH08: Fusion Strike); Normal (Base Set 2); Holofoil (SV01: Scarlet & Violet Base Set); Normal (SWSH02: Rebel Clash); Normal (SV10: Destined Rivals); Normal (Base Set); 1st Edition (Base Set (Shadowless)); Holofoil (Blister Exclusives); Normal (SWSH12: Silver Tempest); Holofoil (Deck Exclusives); Reverse Holofoil (League & Championship Cards); 1st Edition Holofoil (Neo Destiny); Holofoil (SV: Scarlet & Violet Promo Cards)
