No,Card,CardNumber,ExpectedGrade,SearchQuery,MatchedName,MatchedSet,Printing,TCGPlayerId,CardNum,MarketPrice,Selected
40,Mareep,67/109,9/10,Mareep,Mareep,EX Trainer Kit 2: Plusle & Minun,Normal,87200,5/12,0.65,N
40,Mareep,67/109,9/10,Mareep,Mareep,SM - Team Up,Normal,183814,41/181,0.2,N
40,Mareep,67/109,9/10,Mareep,Mareep,Dragons Exalted,Normal,87208,38/124,0.4,N
40,Mareep,67/109,9/10,Mareep,Mareep,XY - Steam Siege,Normal,121127,38/114,0.16,N
40,Mareep,67/109,9/10,Mareep,Mareep (#20),HGSS Trainer Kit: Gyarados & Raichu,Normal,87206,20/30,2.06,N
40,Mareep,67/109,9/10,Mareep,Mareep (#13),HGSS Trainer Kit: Gyarados & Raichu,Normal,87205,13/30,0.71,N
40,Mareep,67/109,9/10,Mareep,Mareep,Expedition,Normal,87196,119/165,2.9,N
40,Mareep,67/109,9/10,Mareep,Mareep - Pikachu 45,Battle Academy 2024,Normal,556926,107,0.3,N
40,Mareep,67/109,9/10,Mareep,Mareep - Pikachu 19,Battle Academy 2024,Normal,556923,107,0.28,N
40,Mareep,67/109,9/10,Mareep,Mareep - Pikachu 2,Battle Academy 2024,Normal,556927,107,0.29,N
40,Mareep,67/109,9/10,Mareep,Mareep - Pikachu 41,Battle Academy 2024,Normal,556924,107,0.27,N
40,Mareep,67/109,9/10,Mareep,Mareep,Aquapolis,Normal,87195,093/147,3.43,N
40,Mareep,67/109,9/10,Mareep,Mareep - 75/214 (Toys R Us Promo),Miscellaneous Cards & Products,Reverse Holofoil,228853,075/214,89.6,N
40,Mareep,67/109,9/10,Mareep,Mareep,Neo Destiny,1st Edition,87194,075/105,2.79,N
40,Mareep,67/109,9/10,Mareep,Team Rocket's Mareep,SV10: Destined Rivals,Normal,630820,072/182,0.08,N
40,Mareep,67/109,9/10,Mareep,Mareep,SV01: Scarlet & Violet Base Set,Normal,487919,066/198,0.08,N
40,Mareep,67/109,9/10,Mareep,Mareep,Neo Genesis,1st Edition,87193,065/111,2.39,N
40,Mareep,67/109,9/10,Mareep,Mareep,SWSH03: Darkness Ablaze,Normal,219387,055/189,0.15,N
40,Mareep,67/109,9/10,Mareep,Mareep,SWSH07: Evolving Skies,Normal,246895,054/203,0.09,N
40,Mareep,67/109,9/10,Mareep,Mareep,SWSH06: Chilling Reign,Normal,241704,047/198,0.07,N
40,Mareep,67/109,9/10,Mareep,Mareep,POP Series 7,Normal,87202,014/017,1.63,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan - HGSS24,HGSS Promos,Holofoil,86097,HGSS24,7.4,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Legends Awakened,Normal,86093,99/146,0.84,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan ex,Ruby and Sapphire,Holofoil,86099,98/109,68.79,N
41,Hitmonchan,2,9/10,Hitmonchan,Rocket's Hitmonchan ex,Team Rocket Returns,Holofoil,88774,98/109,225.15,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,SM - Team Up,Normal,183852,74/181,0.33,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,XY - Evolutions,Holofoil,124075,62/108,1.64,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Call of Legends,Normal,86096,57/95,0.34,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Undaunted,Normal,86095,51/90,0.39,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Generations,Normal,113706,48/83,0.34,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,XY - Furious Fists,Normal,92225,48/111,0.3,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Unseen Forces,Normal,86092,24/115,3.57,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Platinum,Holofoil,86094,129/127,19.76,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,SV: Scarlet & Violet 151,Normal,516676,107/165,0.12,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,SWSH01: Sword & Shield Base Set,Normal,208404,095/202,0.2,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,SWSH07: Evolving Skies,Normal,246871,081/203,0.07,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Aquapolis,Normal,86091,081/147,19.83,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Neo Destiny,1st Edition,86090,069/105,4.02,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan - 62/108 (XY Evolutions),Deck Exclusives,Normal,131307,062/108,0.56,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Trading Card Game Classic,Holofoil,527899,012/034,4.95,N
41,Hitmonchan,2,9/10,Hitmonchan,Rocket's Hitmonchan,Gym Heroes,1st Edition Holofoil,88773,011/132,123.55,N
41,Hitmonchan,2,9/10,Hitmonchan,Rocket's Hitmonchan - 9 [Winner],Best of Promos,Reverse Holofoil,167079,009/009,107.65,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Base Set 2,Holofoil,42496,008/130,20.91,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Base Set,Holofoil,42415,007/102,19.57,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan,Base Set (Shadowless),1st Edition Holofoil,107002,007/102,227.5,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan - 2,Best of Promos,Reverse Holofoil,86098,002/009,29.58,Y
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan - 2 [Winner],Best of Promos,Reverse Holofoil,117599,002/009,65.33,N
41,Hitmonchan,2,9/10,Hitmonchan,Hitmonchan - 2 (Best of Game 2 Promo),Jumbo Cards,Normal,180263,002,35,N
42,Electabuzz,1,8,Electabuzz,Electabuzz ex,Ruby and Sapphire,Holofoil,85120,97/109,43.74,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Secret Wonders,Normal,85115,87/132,0.25,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Diamond and Pearl,Normal,85114,81/130,0.63,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SM - Lost Thunder,Normal,178880,71/214,0.2,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Boundaries Crossed,Normal,85118,53/149,0.23,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,WoTC Promo,Normal,85111,46/53,26.61,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SM - Ultra Prism,Normal,157660,43/156,0.1,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SM - Burning Shadows,Normal,138524,42/147,0.08,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,XY - BREAKpoint,Normal,111549,42/122,0.13,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,XY - Evolutions,Normal,124054,41/108,0.1,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Sandstorm,Normal,85110,35/100,1.74,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Triumphant,Normal,85117,33/102,0.72,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,XY - Furious Fists,Normal,92204,29/111,0.17,N
42,Electabuzz,1,8,Electabuzz,Electabuzz (Delta Species),Dragon Frontiers,Normal,85119,29/101,1.78,N
42,Electabuzz,1,8,Electabuzz,Electabuzz (23),XY Trainer Kit: Pikachu Libre & Suicune,Normal,118822,23/30,0.26,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Unseen Forces,Normal,85113,22/115,1.25,N
42,Electabuzz,1,8,Electabuzz,Electabuzz (15),XY Trainer Kit: Pikachu Libre & Suicune,Normal,118821,15/30,0.41,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Platinum,Holofoil,85116,128/127,15.71,N
42,Electabuzz,1,8,Electabuzz,Electabuzz - 125/165 (Cosmos Holo),Miscellaneous Cards & Products,Holofoil,520726,125/165,0.32,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SV: Scarlet & Violet 151,Normal,516688,125/165,0.09,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Expedition,Normal,85112,076/165,1.55,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SV10: Destined Rivals,Normal,632881,068/182,0.05,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SWSH02: Rebel Clash,Normal,213139,058/192,0.11,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SV05: Temporal Forces,Normal,542797,053/162,0.05,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SWSH09: Brilliant Stars,Normal,263750,046/172,0.07,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SV07: Stellar Crown,Normal,567272,046/142,0.06,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,SWSH05: Battle Styles,Normal,234192,044/163,0.09,N
42,Electabuzz,1,8,Electabuzz,Electabuzz - 43/156 (#6 Pikachu Stamped),Battle Academy,Normal,219123,043/156,0.21,N
42,Electabuzz,1,8,Electabuzz,Electabuzz - 43/156 (#58 Pikachu Stamped),Battle Academy,Normal,219126,043/156,0.18,N
42,Electabuzz,1,8,Electabuzz,Electabuzz - 43/156 (#41 Pikachu Stamped),Battle Academy,Normal,219125,043/156,0.18,N
42,Electabuzz,1,8,Electabuzz,Electabuzz - 41/108 (Toys R Us Promo),Miscellaneous Cards & Products,Holofoil,153288,041/108,17.57,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Neo Genesis,1st Edition,85109,033/111,2.76,N
42,Electabuzz,1,8,Electabuzz,Lt. Surge's Electabuzz (27),Gym Heroes,1st Edition,86852,027/132,15.57,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Base Set 2,Normal,42469,024/130,3.24,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Base Set,Normal,42361,020/102,9.18,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,Base Set (Shadowless),1st Edition,107015,020/102,125.95,N
42,Electabuzz,1,8,Electabuzz,Electabuzz (Movie Promo),WoTC Promo,Normal,85107,02/53,8.37,N
42,Electabuzz,1,8,Electabuzz,Lt. Surge's Electabuzz (6),Gym Heroes,1st Edition Holofoil,86851,006/132,90.66,N
42,Electabuzz,1,8,Electabuzz,Electabuzz - 1,Best of Promos,Reverse Holofoil,85106,001/009,22.95,Y
42,Electabuzz,1,8,Electabuzz,Electabuzz - 1 [Winner],Best of Promos,Reverse Holofoil,167078,001/009,75.66,N
42,Electabuzz,1,8,Electabuzz,Electabuzz - 1 (Best of Game 1 Promo),Jumbo Cards,Normal,211445,001,94.95,N
42,Electabuzz,1,8,Electabuzz,Electabuzz,My First Battle,Normal,524068,,0.34,N
43,Pichu,35,9,Pichu,Pichu,WoTC Promo,Reverse Holofoil,88014,35/53,37.84,Y
44,Cubone,51/109,9/10,Cubone,Cubone,SM - Unbroken Bonds,Normal,189189,90/214,0.23,N
44,Cubone,51/109,9/10,Cubone,Cubone,Legends Awakened,Normal,84534,90/146,0.87,N
44,Cubone,51/109,9/10,Cubone,Cubone,XY - BREAKthrough,Normal,107196,77/162,0.61,N
44,Cubone,51/109,9/10,Cubone,Cubone,Dragons Exalted,Normal,84536,60/124,0.5,N
44,Cubone,51/109,9/10,Cubone,Cubone,Delta Species,Normal,84533,60/113,1.78,N
44,Cubone,51/109,9/10,Cubone,Cubone,FireRed & LeafGreen,Normal,84531,60/112,5.94,N
44,Cubone,51/109,9/10,Cubone,Cubone,Triumphant,Normal,84535,60/102,1.56,N
44,Cubone,51/109,9/10,Cubone,Cubone,SM - Forbidden Light,Normal,165709,57/131,0.37,N
44,Cubone,51/109,9/10,Cubone,Cubone,SM - Crimson Invasion,Normal,149075,52/111,0.18,N
44,Cubone,51/109,9/10,Cubone,Cubone,Team Rocket Returns,Normal,84532,51/109,1.84,Y
44,Cubone,51/109,9/10,Cubone,Cubone,Jungle,1st Edition,45153,50/64,17.86,N
44,Cubone,51/109,9/10,Cubone,Cubone,Team Magma vs Team Aqua,Normal,84530,40/95,4.01,N
44,Cubone,51/109,9/10,Cubone,Cubone,Hidden Fates,Normal,197681,37/68,0.13,N
44,Cubone,51/109,9/10,Cubone,Cubone,SM - Unified Minds,Normal,195047,105/236,0.19,N
44,Cubone,51/109,9/10,Cubone,Cubone,SV: Scarlet & Violet 151,Normal,516673,104/165,0.09,N
44,Cubone,51/109,9/10,Cubone,Cubone,Expedition,Normal,84529,103/165,30.98,N
44,Cubone,51/109,9/10,Cubone,Cubone,SV09: Journey Together,Normal,623503,076/159,0.1,N
44,Cubone,51/109,9/10,Cubone,Cubone,Aquapolis,Normal,84528,072/147,13.42,N
44,Cubone,51/109,9/10,Cubone,Cubone,SV07: Stellar Crown,Normal,567298,072/142,0.09,N
44,Cubone,51/109,9/10,Cubone,Cubone,Base Set 2,Normal,42490,070/130,1.32,N
44,Cubone,51/109,9/10,Cubone,Cubone,SWSH05: Battle Styles,Normal,234245,069/163,0.16,N
44,Cubone,51/109,9/10,Cubone,Cubone,Trick or Trade BOOster Bundle,Normal,283807,069/163,0.13,N
44,Cubone,51/109,9/10,Cubone,Cubone - 57/131 (General Mills Promo),Miscellaneous Cards & Products,Holofoil,186320,057/131,22.85,N
44,Cubone,51/109,9/10,Cubone,Cubone - 7/12,McDonald's Promos 2018,Holofoil,180455,007/012,23.58,N
45,Ho-Oh,9/95,6,Ho-Oh,Ho-Oh,Call of Legends,Holofoil,86126,9/95,27.49,Y
46,Cool Porygon,15,9/10,Cool Porygon,Cool Porygon,WoTC Promo,Holofoil,84422,15/53,64.7,Y
47,Golem,148/144,9,Golem,Golem ex,Dragon,Holofoil,85831,91/97,65.99,N
47,Golem,148/144,9,Golem,Golem,SM - Unbroken Bonds,Holofoil,189188,89/214,0.53,N
47,Golem,148/144,9,Golem,Golem,Legend Maker,Holofoil,85827,6/92,8.37,N
47,Golem,148/144,9,Golem,Golem,Dragon,Holofoil,85826,5/97,48.57,N
47,Golem,148/144,9,Golem,Golem,XY - Flashfire,Normal,91180,47/106,0.58,N
47,Golem,148/144,9,Golem,Golem EX,Generations,Holofoil,113704,46/83,1.86,N
47,Golem,148/144,9,Golem,Golem,Generations,Holofoil,113703,45/83,1.46,N
47,Golem,148/144,9,Golem,Alolan Golem,SM - Guardians Rising,Holofoil,130944,42/145,0.58,N
47,Golem,148/144,9,Golem,Alolan Golem,SM - Team Up,Normal,183810,37/181,0.37,N
47,Golem,148/144,9,Golem,Golem,Fossil,1st Edition,44438,36/62,8.04,N
47,Golem,148/144,9,Golem,Golem,Hidden Fates,Normal,197679,35/68,0.18,N
47,Golem,148/144,9,Golem,Alolan Golem GX,SM - Crimson Invasion,Holofoil,149057,34/111,1.6,N
47,Golem,148/144,9,Golem,Golem,Secret Wonders,Normal,85828,29/132,1.92,N
47,Golem,148/144,9,Golem,Golem E4,Rising Rivals,Normal,85830,23/111,1.39,N
47,Golem,148/144,9,Golem,Golem,Arceus,Normal,85829,19/99,1.51,N
47,Golem,148/144,9,Golem,Golem ex - 189/165,SV: Scarlet & Violet 151,Holofoil,517021,189/165,5.11,N
47,Golem,148/144,9,Golem,Golem,Skyridge,Holofoil,85825,148/144,359.99,Y
47,Golem,148/144,9,Golem,Golem,SWSH08: Fusion Strike,Normal,253342,137/264,0.21,N
47,Golem,148/144,9,Golem,Alolan Golem GX (Secret),SM - Crimson Invasion,Holofoil,149129,113/111,9.92,N
47,Golem,148/144,9,Golem,Alolan Golem GX (Full Art),SM - Crimson Invasion,Holofoil,149128,102/111,4.54,N
47,Golem,148/144,9,Golem,Golem ex - 076/165,SV: Scarlet & Violet 151,Holofoil,516574,076/165,0.85,N
47,Golem,148/144,9,Golem,Golem (49),Expedition,Normal,85824,049/165,7.74,N
47,Golem,148/144,9,Golem,Alolan Golem,SV09: Journey Together,Normal,623473,046/159,0.05,N
47,Golem,148/144,9,Golem,Alolan Golem - 42/145 (Cosmos Holo),Blister Exclusives,Holofoil,173100,042/145,1.96,N
47,Golem,148/144,9,Golem,Golem,Legendary Collection,Normal,85822,024/110,3.57,N
47,Golem,148/144,9,Golem,Brock's Golem,Gym Heroes,1st Edition,83967,020/132,26.23,N
47,Golem,148/144,9,Golem,Golem (14),Expedition,Holofoil,85821,014/165,48.11,N
47,Golem,148/144,9,Golem,Golem - 6/92 (Regional Championships),League & Championship Cards,Normal,251240,006/092,19.75,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking (H18),Aquapolis,Holofoil,87692,H18/H32,125.13,Y
48,Nidoking,H18/H32,9,Nidoking,Nidoking,FireRed & LeafGreen,Holofoil,87696,8/112,45.44,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,Triumphant,Holofoil,87699,6/102,7.95,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking (Delta Species),Dragon Frontiers,Holofoil,87701,6/101,21.57,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,SM - Team Up,Normal,183837,59/181,1.23,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,Plasma Freeze,Normal,87700,58/116,1.69,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking BREAK,XY - Evolutions,Holofoil,124059,46/108,2.69,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,XY - Steam Siege,Normal,121134,45/114,0.61,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,XY - Evolutions,Holofoil,124058,45/108,3.89,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,Secret Wonders,Normal,87697,34/132,3.14,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,Rising Rivals,Normal,87698,29/111,5.4,N
48,Nidoking,H18/H32,9,Nidoking,Team Rocket's Nidoking ex - 233/182,SV10: Destined Rivals,Holofoil,633033,233/182,92.03,N
48,Nidoking,H18/H32,9,Nidoking,Team Rocket's Nidoking ex - 217,SV: Scarlet & Violet Promo Cards,Holofoil,653258,217,1.01,N
48,Nidoking,H18/H32,9,Nidoking,Team Rocket's Nidoking ex - 216/182,SV10: Destined Rivals,Holofoil,633016,216/182,3.74,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking - 174/165,SV: Scarlet & Violet 151,Holofoil,517029,174/165,12.98,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking (150),Aquapolis,Holofoil,87695,150/147,483.33,N
48,Nidoking,H18/H32,9,Nidoking,Team Rocket's Nidoking ex - 119/182,Prize Pack Series Cards,Holofoil,671694,119/182,14.5,N
48,Nidoking,H18/H32,9,Nidoking,Team Rocket's Nidoking ex - 119/182,SV10: Destined Rivals,Holofoil,632927,119/182,0.67,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking - 45/108 (XY Evolutions),Deck Exclusives,Normal,131306,045/108,1.51,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking - 034/165,SV: Scarlet & Violet 151,Holofoil,516024,034/165,0.25,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,Legendary Collection,Normal,87694,031/110,11.95,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking (24),Aquapolis,Normal,87693,024/147,11.14,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,Base Set 2,Holofoil,42448,011/130,23.93,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,Base Set,Holofoil,42351,011/102,34.03,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking,Base Set (Shadowless),1st Edition Holofoil,107006,011/102,360,N
48,Nidoking,H18/H32,9,Nidoking,Giovanni's Nidoking,Gym Challenge,1st Edition Holofoil,85718,007/132,181.96,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking - 6/102 (Cracked Ice Holo),Deck Exclusives,Holofoil,125071,006/102,5.89,N
48,Nidoking,H18/H32,9,Nidoking,Nidoking - 6/102,Deck Exclusives,Normal,125072,006/102,2.44,N
48,Nidoking,H18/H32,9,Nidoking,Code Card - Team Rocket Tin [Team Rocket's Nidoking ex],Miscellaneous Cards & Products,Normal,653229,,0.6,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath (H24),Skyridge,Holofoil,88272,H24/H32,300,Y
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,SM - Unbroken Bonds,Normal,189114,39/214,0.48,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,Legends Awakened,Normal,88278,35/146,1.66,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,SM Base Set,Holofoil,126903,32/149,0.76,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath (28),Neo Discovery,1st Edition,88274,28/75,10.61,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,XY - Evolutions,Holofoil,124038,25/108,2.52,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,Unleashed,Normal,88279,21/95,1.36,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,XY - Furious Fists,Holofoil,92192,17/111,1.34,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,Unseen Forces,Holofoil,88277,11/115,21.74,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,FireRed & LeafGreen,Holofoil,88276,11/112,22.78,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath (9),Neo Discovery,1st Edition Holofoil,88269,09/75,66.19,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,SWSH11: Lost Origin,Normal,283970,085/196,0.14,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,SV: Scarlet & Violet 151,Normal,516251,062/165,0.09,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath (60),Expedition,Normal,88275,060/165,25.7,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,SV06: Twilight Masquerade,Normal,550087,043/167,0.08,N
49,Poliwrath,H24/H32,10,Poliwrath,Misty's Poliwrath,Gym Heroes,1st Edition,87538,031/132,27.42,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath (26),Skyridge,Normal,88273,026/144,58.86,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath - 25/108 (XY Evolutions),Deck Exclusives,Normal,141261,025/108,3.34,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath (24),Expedition,Holofoil,88271,024/165,72.4,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath - 21/95 (League Promo) [Staff],League & Championship Cards,Reverse Holofoil,231419,021/095,180,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath - 21/95 (League Promo),League & Championship Cards,Reverse Holofoil,231418,021/095,19.68,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,Base Set 2,Holofoil,42459,015/130,12.56,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,Base Set,Holofoil,42353,013/102,23.42,N
49,Poliwrath,H24/H32,10,Poliwrath,Poliwrath,Base Set (Shadowless),1st Edition Holofoil,107007,013/102,223.75,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn (H15),Aquapolis,Holofoil,86599,H15/H32,98,Y
50,Lanturn,H15/H32,9,Lanturn,Lanturn (Prime),Unleashed,Holofoil,86611,86/95,24.66,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SM - Lost Thunder,Normal,178883,74/214,0.38,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SM - Cosmic Eclipse,Normal,201246,72/236,0.28,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn (59),Legends Awakened,Normal,86609,59/146,0.86,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,XY - Primal Clash,Normal,95956,58/160,0.19,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn (58),Legends Awakened,Normal,86608,58/146,0.96,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SM - Celestial Storm,Normal,170869,50/168,0.23,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SM Base Set,Normal,126921,50/149,0.1,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,Unseen Forces,Normal,86605,40/115,0.68,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,Hidden Legends,Normal,86604,38/101,1.08,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,Plasma Freeze,Normal,86612,36/116,0.25,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,Neo Revelation,1st Edition,86602,32/64,2.11,N
50,Lanturn,H15/H32,9,Lanturn,Team Aqua's Lanturn,Team Magma vs Team Aqua,Normal,89789,28/95,0.87,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,Legend Maker,Normal,86606,19/92,1.11,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,Unleashed,Normal,86610,18/95,0.7,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,Power Keepers,Normal,86607,15/108,1.15,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SWSH01: Sword & Shield Base Set,Normal,208368,069/202,0.15,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SWSH07: Evolving Skies,Normal,246893,053/203,0.11,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SWSH12: Silver Tempest,Normal,451707,052/195,0.08,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SV07: Stellar Crown,Normal,567275,049/142,0.08,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,Neo Genesis,1st Edition,86603,038/111,2.55,N
50,Lanturn,H15/H32,9,Lanturn,Light Lanturn,Neo Destiny,1st Edition,86742,023/105,9.58,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn (21),Aquapolis,Normal,86601,021/147,19.39,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn,SV: Paldean Fates,Normal,534167,021/091,0.09,N
50,Lanturn,H15/H32,9,Lanturn,Lanturn (20),Aquapolis,Normal,86600,020/147,12.24,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam V - SWSH083,SWSH: Sword & Shield Promo Cards,Holofoil,228980,SWSH083,1.06,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam V - SWSH083,Jumbo Cards,Holofoil,228981,SWSH083,1.8,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam (H1),Skyridge,Holofoil,83498,H01/H32,800,Y
51,Alakazam,H1/H32,10,Alakazam,Alakazam Star,Crystal Guardians,Holofoil,83502,99/100,1025,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam Spirit Link,XY - Fates Collide,Normal,117863,90/124,0.16,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam E4,Rising Rivals,Normal,83503,38/111,1.93,N
51,Alakazam,H1/H32,10,Alakazam,M Alakazam EX,XY - Fates Collide,Holofoil,117515,26/124,17.61,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam EX,XY - Fates Collide,Holofoil,117512,25/124,5.27,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam ex,SV: Paldean Fates,Holofoil,535524,215/091,3.55,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam ex - 201/165,SV: Scarlet & Violet 151,Holofoil,517047,201/165,54.09,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam,Mysterious Treasures,Holofoil,83501,2/123,37.72,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam ex - 188/165,SV: Scarlet & Violet 151,Holofoil,517013,188/165,7.5,N
51,Alakazam,H1/H32,10,Alakazam,Dark Alakazam (18),Team Rocket,1st Edition,84560,18/82,26.64,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam V (Full Art),SWSH04: Vivid Voltage,Holofoil,226606,172/185,3.63,N
51,Alakazam,H1/H32,10,Alakazam,Alakazam EX (Secret),XY - Fates Collide,Holofoil,117896,125/124,114.6,N
51,Alakazam,H1/H32,10,Alakazam,M Alakazam EX (Full Art),XY - Fates Collide,Holofoil,117890,118/124,84.46,N
